"SPL","FLIGHTLESS","REP","NO","SEX","CAPTIVE","COMPOSITE","LOC","CAR","HUM","ULN","CMC","FEM","TIB","TMT"
"1","Dendrocygna_viduata",FALSE,"NMNSAS","1315","U",TRUE,FALSE,"Zoo",24,98.8,102.7,54.1,NA,91.6,59.1
"2","Dendrocygna_viduata",FALSE,"NMNSAS","597","F",TRUE,FALSE,"Zoo",22,97.5,101.5,53.3,49.8,87.4,NA
"3","Dendrocygna_autumnalis",FALSE,"MVZ","83994","M",FALSE,FALSE,"MexicoGuerrero",24.6,101.1,104.2,56.5,53.8,97.2,61.2
"4","Dendrocygna_autumnalis",FALSE,"MVZ","85520","M",FALSE,FALSE,"El SalvadorDepartamento San Miguel",24.6,97.4,101.2,55.5,54.1,93.8,60.3
"5","Dendrocygna_autumnalis",FALSE,"MVZ","85521","F",FALSE,FALSE,"El SalvadorDepartamento San Miguel",24.8,102.1,102.2,55.5,55.3,96.6,59.6
"6","Dendrocygna_bicolor",FALSE,"MVZ","132935","M",TRUE,FALSE,"San Diego Zoo",21.9,97.6,100.3,51.7,48.3,82.9,54.4
"7","Dendrocygna_bicolor",FALSE,"MVZ","21560","M",FALSE,FALSE,"California",22.5,95.4,100.7,50.8,49.3,86.9,55.2
"8","Dendrocygna_bicolor",FALSE,"MVZ","21561","F",FALSE,FALSE,"California",23.6,97,101.6,51,49.9,86.2,53.8
"9","Dendrocygna_bicolor",FALSE,"USNM","224797","M",FALSE,FALSE,"",22.3,99.7,104.6,53.3,52.3,90.4,57
"10","Dendrocygna_bicolor",FALSE,"USNM","224798","F",FALSE,FALSE,"",22,NA,101.4,NA,52.5,NA,56.2
"11","Dendrocygna_bicolor",FALSE,"USNM","322349","F",TRUE,FALSE,"",21.7,100.5,106.5,52.8,50.7,87.1,54.9
"12","Dendrocygna_bicolor",FALSE,"USNM","488130","M",FALSE,FALSE,"",22.3,92.8,98.9,48.1,46.2,83.5,52.1
"13","Dendrocygna_bicolor",FALSE,"USNM","488131","F",FALSE,FALSE,"",22.5,97.9,104.7,51,48.7,87.6,55.2
"14","Dendrocygna_bicolor",FALSE,"USNM","488132","M",FALSE,FALSE,"",20.3,100.7,107.9,54.7,52.8,89.6,55.9
"15","Dendrocygna_bicolor",FALSE,"USNM","488134","F",FALSE,FALSE,"",18.9,94.6,101.9,53.9,49.1,86.1,56.7
"16","Dendrocygna_bicolor",FALSE,"USNM","488703","M",FALSE,FALSE,"",22.3,98.9,102.2,51.2,52.1,92.7,56.3
"17","Thalassornis_leuconotus",FALSE,"NHMUK","1901.10.20.156","F",FALSE,FALSE,"Lake Saka",18.6,86.3,84.3,39.6,41,69.1,39.1
"18","Thalassornis_leuconotus",FALSE,"USNM","431502","F",FALSE,FALSE,"",17.8,81,81.2,39.1,40,68.5,38.2
"19","Thalassornis_leuconotus",FALSE,"USNM","490228","M",FALSE,FALSE,"",19.9,91.6,88.2,42.3,42.9,72.3,40.5
"20","Heteronetta_atricapilla",FALSE,"MVZ","156782","F",FALSE,FALSE,"ArgentinaBuenos Aires",19.9,76,NA,NA,39.3,NA,NA
"21","Oxyura_jamaicensis",FALSE,"USNM","491320","F",FALSE,FALSE,"",13.2,67.3,58.7,33.9,38.5,59.4,32.3
"22","Oxyura_jamaicensis",FALSE,"USNM","499417","F",FALSE,FALSE,"",13.4,NA,58,32.6,38.3,61.9,32.3
"23","Oxyura_jamaicensis",FALSE,"USNM","499639","M",FALSE,FALSE,"",15.6,70.9,61.6,35.3,41.7,64.3,34
"24","Oxyura_jamaicensis",FALSE,"USNM","500983","F",FALSE,FALSE,"",14.2,68,59.3,34.4,38.9,61.1,32.9
"25","Oxyura_jamaicensis",FALSE,"USNM","500984","F",FALSE,FALSE,"",14.4,68.1,59.5,33.9,38.5,61.4,32.4
"26","Oxyura_jamaicensis",FALSE,"USNM","561019","M",FALSE,FALSE,"",15.5,72.5,63,36.3,41.7,65.8,34.5
"27","Oxyura_jamaicensis",FALSE,"USNM","610721","M",FALSE,FALSE,"",15.3,71.2,62,36.8,40.6,63.3,33.9
"28","Oxyura_jamaicensis",FALSE,"USNM","610722","F",FALSE,FALSE,"",15.9,70.3,61.1,33.4,39.4,62.4,33.2
"29","Oxyura_jamaicensis",FALSE,"USNM","623348","M",FALSE,FALSE,"",14.1,68,59.2,33.9,38.7,61.1,32.4
"30","Oxyura_jamaicensis",FALSE,"USNM","623361","M",FALSE,FALSE,"",14.9,73.5,64.7,36.7,40.9,65.2,35
"31","Biziura_lobata",FALSE,"MNHN","1847-79","U",FALSE,FALSE,"",19.4,NA,NA,NA,59.5,102.9,NA
"32","Biziura_lobata",FALSE,"MNHN","A3639","U",FALSE,FALSE,"",18.1,122.5,110.8,58,63.5,114,53.9
"33","Biziura_lobata",FALSE,"MVZ","143032","M",FALSE,FALSE,"AustraliaSouth Australia",19.2,116.8,96.6,NA,62,106.1,NA
"34","Biziura_lobata",FALSE,"MVZ","143332","F",FALSE,FALSE,"AustraliaSouth Australia",14.7,98.3,79.9,45,51.6,90.7,44
"35","Biziura_lobata",FALSE,"MVZ","143333","M",FALSE,FALSE,"AustraliaSouth Australia",18.2,121.2,98.5,55.8,62.7,110.3,51.5
"36","Biziura_lobata",FALSE,"MVZ","143334","F",FALSE,FALSE,"AustraliaSouth Australia",14.1,97,79.7,43.8,52.6,89.8,44
"37","Biziura_lobata",FALSE,"MVZ","143335","M",FALSE,FALSE,"AustraliaSouth Australia",19.1,118.5,99,56.4,62.1,109.6,50.7
"38","Biziura_lobata",FALSE,"MVZ","143336","M",FALSE,FALSE,"AustraliaSouth Australia",18.7,124.8,103.6,59,66.4,112.3,52.5
"39","Biziura_lobata",FALSE,"MVZ","154313","M",FALSE,FALSE,"AustraliaNew South Wales",18.1,112.1,93.7,53.4,60.5,105.5,50.6
"40","Biziura_lobata",FALSE,"MVZ","155861","M",FALSE,FALSE,"AustraliaNew South Wales",15.7,117.1,96.7,57,61.3,106.1,51.6
"41","Biziura_lobata",FALSE,"NHMUK","1967.17.2","F",FALSE,FALSE,"",15.3,90.1,76.4,41.2,46.8,83.2,39.7
"42","Biziura_lobata",FALSE,"NHMUK","1967.17.3","M",FALSE,FALSE,"",18.2,117.1,98.6,56,64.1,108.1,52.4
"43","Biziura_lobata",FALSE,"NHMUK","1969.17.1","F",FALSE,FALSE,"",15.9,89.6,80.6,44.8,51,87.9,41.2
"44","Biziura_lobata",FALSE,"NHMUK","1969.5.1","M",FALSE,FALSE,"",NA,NA,NA,NA,NA,NA,55
"45","Malacorhynchus_membranaceus",FALSE,"MVZ","141917","F",FALSE,FALSE,"AustraliaSouth Australia",17.9,69.6,62.2,41.6,38.6,66.7,36.9
"46","Malacorhynchus_membranaceus",FALSE,"MVZ","143318","F",FALSE,FALSE,"AustraliaSouth Australia",18.6,NA,58.8,38.7,36.1,63.5,35.5
"47","Malacorhynchus_membranaceus",FALSE,"MVZ","143319","M",FALSE,FALSE,"AustraliaSouth Australia",17.7,NA,61.7,39.3,37.2,65.4,35.8
"48","Malacorhynchus_membranaceus",FALSE,"MVZ","143320","M",FALSE,FALSE,"AustraliaSouth Australia",18.3,68.3,61.9,41.6,37,66.2,37.2
"49","Malacorhynchus_membranaceus",FALSE,"MVZ","143321","F",FALSE,FALSE,"AustraliaSouth Australia",17.4,64.4,59.6,39.6,37.3,62.3,34.7
"50","Malacorhynchus_membranaceus",FALSE,"MVZ","143322","M",FALSE,FALSE,"AustraliaSouth Australia",19.9,69,62.6,40.9,37.9,65.3,37
"51","Malacorhynchus_membranaceus",FALSE,"MVZ","143323","M",FALSE,FALSE,"AustraliaSouth Australia",17.2,67.2,61.2,40.4,36.4,63.1,36.2
"52","Malacorhynchus_membranaceus",FALSE,"MVZ","143324","F",FALSE,FALSE,"AustraliaSouth Australia",16.4,63.6,58.6,39.2,35.7,62.4,35.1
"53","Malacorhynchus_membranaceus",FALSE,"MVZ","143325","M",FALSE,FALSE,"AustraliaSouth Australia",19,68.8,63.1,40.9,37.7,66.5,37.5
"54","Malacorhynchus_membranaceus",FALSE,"MVZ","143326","F",FALSE,FALSE,"AustraliaSouth Australia",16.8,61.6,56,37.1,34.2,59.2,33.3
"55","Malacorhynchus_membranaceus",FALSE,"MVZ","143327","F",FALSE,FALSE,"AustraliaSouth Australia",17.4,66.1,60.6,39.6,36,64.1,34.8
"56","Malacorhynchus_membranaceus",FALSE,"MVZ","143328","M",FALSE,FALSE,"AustraliaSouth Australia",18.2,NA,62.9,40.9,37.2,67.1,35.3
"57","Malacorhynchus_membranaceus",FALSE,"MVZ","143329","M",FALSE,FALSE,"AustraliaSouth Australia",20,NA,63.4,41,38.8,65.7,36.5
"58","Malacorhynchus_membranaceus",FALSE,"MVZ","154311","F",FALSE,FALSE,"AustraliaNew South Wales",NA,62.2,59,38.8,33.9,61.2,33.6
"59","Malacorhynchus_membranaceus",FALSE,"USNM","9266","M",FALSE,FALSE,"",18.5,NA,NA,NA,NA,NA,NA
"60","Malacorhynchus_membranaceus",FALSE,"USNM","9319","F",FALSE,FALSE,"",18.2,NA,NA,NA,NA,NA,NA
"61","Stictonetta_naevosa",FALSE,"NHMUK","1895.4.27.1","M",FALSE,FALSE,"Australia",19.5,90.9,80,52,51.7,85,48.3
"62","Stictonetta_naevosa",FALSE,"NHMUK","1895.4.27.9","M",FALSE,FALSE,"Australia",20.5,88.8,78,50.7,50.7,81.3,45.8
"63","Stictonetta_naevosa",FALSE,"NHMUK","1995.5.10","M",TRUE,FALSE,"Wildfowl Trust",21.3,88.1,76.5,50,49.2,80.4,46.1
"64","Cereopsis_novaehollandiae",FALSE,"MVZ","137569","U",TRUE,FALSE,"San Diego Zoo",39.7,184.3,183,98.8,91.7,159.1,107.3
"65","Cereopsis_novaehollandiae",FALSE,"USNM","318044","M",TRUE,FALSE,"",34.8,190.4,188.8,102.1,93.8,164.1,112.1
"66","Cereopsis_novaehollandiae",FALSE,"USNM","321101","M",TRUE,FALSE,"",38.1,190.3,194.6,107.4,94.3,167,112.4
"67","Cereopsis_novaehollandiae",FALSE,"USNM","322026","F",TRUE,FALSE,"",31.5,170.9,164.6,93,86.1,151.2,99.8
"68","Cereopsis_novaehollandiae",FALSE,"USNM","346461","F",TRUE,FALSE,"",37.4,184,187.8,102.7,90.8,158.9,105.6
"69","Cereopsis_novaehollandiae",FALSE,"USNM","346851","F",TRUE,FALSE,"",35.3,187.1,193,104,93.4,168.7,112.7
"70","Cereopsis_novaehollandiae",FALSE,"USNM","429222","M",TRUE,FALSE,"",39.7,188.3,189.6,103.7,101.9,179.8,119.4
"71","Cereopsis_novaehollandiae",FALSE,"USNM","429738","F",TRUE,FALSE,"",36.5,180.3,183.3,99.2,92.8,161.7,108.9
"72","Cereopsis_novaehollandiae",FALSE,"USNM","489416","F",TRUE,FALSE,"",33.1,175.2,178.7,97.8,85.4,151.2,102.3
"73","Coscoroba_coscoroba",FALSE,"MVZ","140776","F",TRUE,FALSE,"San Diego Zoo",35,183.7,177.8,96.3,89.8,157.3,97.6
"74","Cygnus_atratus",FALSE,"MVZ","141910","U",FALSE,FALSE,"AustraliaSouth Australia",41.7,253.5,237.5,113.6,92.3,174,101
"75","Cygnus_atratus",FALSE,"MVZ","141911","U",FALSE,FALSE,"AustraliaSouth Australia",41,250.5,239.5,115.5,89.1,173.3,103.4
"76","Cygnus_atratus",FALSE,"MVZ","143290","U",FALSE,FALSE,"AustraliaSouth Australia",40.7,224,211,103.7,85.8,167.3,98.9
"77","Cygnus_atratus",FALSE,"MVZ","143291","F",FALSE,FALSE,"AustraliaSouth Australia",40.8,223,208.5,104.9,83,162.8,96
"78","Cygnus_atratus",FALSE,"MVZ","143293","F",FALSE,FALSE,"AustraliaSouth Australia",38.9,230,219,110,84,167.3,96.8
"79","Cygnus_atratus",FALSE,"MVZ","154271","M",FALSE,FALSE,"AustraliaAustralian Capital Territory",44.7,267.5,246.5,121.8,95.1,179.8,104.4
"80","Cygnus_olor",FALSE,"MVZ","115621","M",FALSE,FALSE,"California",48.7,304,282.5,141.4,108.5,195.1,112.7
"81","Cygnus_olor",FALSE,"USNM","19757","U",TRUE,FALSE,"",47.3,281,262,131.2,NA,187.8,103.8
"82","Cygnus_olor",FALSE,"USNM","227053","M",FALSE,FALSE,"",47,294,274,136.4,106,197.6,114.9
"83","Cygnus_olor",FALSE,"USNM","291962","M",TRUE,FALSE,"",45.9,283,261,133,100.9,190.5,108.9
"84","Cygnus_olor",FALSE,"USNM","320834","F",TRUE,FALSE,"",35.3,264,246,120.4,92.7,177.4,98.9
"85","Cygnus_olor",FALSE,"USNM","320983","M",TRUE,FALSE,"",52.4,316,308,NA,114.7,215,121.8
"86","Cygnus_olor",FALSE,"USNM","344828","F",TRUE,FALSE,"",43,281,267,136.2,110.2,193,109.4
"87","Cygnus_olor",FALSE,"USNM","522568","F",FALSE,FALSE,"",45.2,276,258,130.6,103.1,190.3,108.7
"88","Cygnus_olor",FALSE,"USNM","556959","M",FALSE,FALSE,"",45.3,304,280,141.3,109.2,205.7,115.3
"89","Cygnus_olor",FALSE,"USNM","557526","M",FALSE,FALSE,"",49.2,302,278,140.5,112,206.9,116.9
"90","Cygnus_olor",FALSE,"USNM","561861","M",FALSE,FALSE,"",47.4,305,284,138,103.5,199,112.1
"91","Cygnus_olor",FALSE,"YIO","64657","M",FALSE,FALSE,"Chiba, Japan",49.8,NA,NA,NA,103.5,NA,NA
"92","Cygnus_buccinator",FALSE,"MNHN","1890-3932","U",FALSE,FALSE,"",53.3,288,283,138.7,110.7,204.4,121.2
"93","Cygnus_buccinator",FALSE,"MNHN","1890-67","U",FALSE,FALSE,"",60.8,298,294,149.9,117.4,210,121.4
"94","Cygnus_buccinator",FALSE,"MVZ","120361","U",FALSE,FALSE,"Oregon",55.7,289,285,146.1,112.9,210,117.9
"95","Cygnus_buccinator",FALSE,"MVZ","137246","F",FALSE,FALSE,"CanadaAlberta",61.3,287.5,282,142.2,115.5,214.5,119.7
"96","Cygnus_buccinator",FALSE,"MVZ","59110","U",FALSE,FALSE,"CanadaBritish Columbia",58.7,NA,NA,NA,NA,NA,NA
"97","Cygnus_buccinator",FALSE,"MVZ","62355","U",FALSE,FALSE,"Wyoming",NA,NA,NA,NA,115.8,NA,NA
"98","Cygnus_cygnus",FALSE,"MVZ","66973","M",FALSE,FALSE,"California",51.4,280,276.5,138.5,NA,NA,NA
"99","Cygnus_cygnus",FALSE,"YIO","60804","M",FALSE,FALSE,"?",54.1,NA,NA,NA,NA,NA,NA
"100","Cygnus_cygnus",FALSE,"YIO","62786","M",FALSE,FALSE,"",51.5,248,247,128.9,103.1,194,118
"101","Cygnus_cygnus",FALSE,"YIO","63910","M",FALSE,FALSE,"Chiba, Japan",55.2,NA,NA,NA,108,NA,NA
"102","Cygnus_columbianus",FALSE,"EP","200","F",TRUE,FALSE,"Tama Zoo",41.8,240.5,242,126.4,95.3,180.1,105.4
"103","Cygnus_columbianus",FALSE,"MVZ","119012","F",FALSE,FALSE,"California",49,244,247,122,99.9,186.5,109.7
"104","Cygnus_columbianus",FALSE,"MVZ","135906","M",FALSE,FALSE,"Alaska",51.3,260,256,132.5,106.7,192.1,118.1
"105","Cygnus_columbianus",FALSE,"MVZ","151609","U",FALSE,FALSE,"California",47.6,248.5,245,122,95.7,184.3,105.4
"106","Cygnus_columbianus",FALSE,"MVZ","158103","F?",FALSE,FALSE,"Alaska",49.9,NA,NA,NA,NA,NA,NA
"107","Cygnus_columbianus",FALSE,"MVZ","21284","M",FALSE,FALSE,"California",50.3,NA,NA,NA,105.5,NA,NA
"108","Cygnus_columbianus",FALSE,"MVZ","22430","M",FALSE,FALSE,"California",48.7,258,258.5,132.1,103.4,191.1,117.8
"109","Cygnus_columbianus",FALSE,"MVZ","22443","M",FALSE,FALSE,"California",51.5,252,254.5,129.2,99.1,188.9,110.1
"110","Cygnus_columbianus",FALSE,"MVZ","26638","M",FALSE,FALSE,"California",47.2,259,259.5,132.3,103.6,198.7,112.8
"111","Cygnus_columbianus",FALSE,"MVZ","31361","F",FALSE,FALSE,"California",49.7,NA,NA,NA,99.9,NA,NA
"112","Cygnus_columbianus",FALSE,"MVZ","40343","M?",FALSE,FALSE,"California",50.4,265,261.5,134.3,104.9,198.6,115.7
"113","Cygnus_columbianus",FALSE,"MVZ","40360","M",FALSE,FALSE,"California",51.3,NA,NA,NA,104.5,NA,NA
"114","Cygnus_columbianus",FALSE,"MVZ","42674","U",FALSE,FALSE,"California",44.9,NA,NA,NA,110.5,NA,NA
"115","Cygnus_columbianus",FALSE,"MVZ","43780","F",FALSE,FALSE,"California",49.6,NA,NA,NA,NA,NA,NA
"116","Cygnus_columbianus",FALSE,"MVZ","43781","F",FALSE,FALSE,"California",46.3,NA,NA,NA,97.9,NA,NA
"117","Cygnus_columbianus",FALSE,"MVZ","44340","F",FALSE,FALSE,"California",47.9,NA,NA,NA,101.7,NA,NA
"118","Cygnus_columbianus",FALSE,"MVZ","46595","F",FALSE,FALSE,"California",41.9,NA,NA,NA,98.7,NA,NA
"119","Cygnus_columbianus",FALSE,"MVZ","49758","F",FALSE,FALSE,"California",45.3,240,238.5,122.1,96.7,179,107.2
"120","Cygnus_columbianus",FALSE,"MVZ","5491","M",FALSE,FALSE,"California",45.5,NA,NA,NA,102.4,NA,NA
"121","Cygnus_columbianus",FALSE,"MVZ","5492","F",FALSE,FALSE,"California",52.9,NA,NA,NA,101.8,NA,NA
"122","Cygnus_columbianus",FALSE,"USNM","17030","F",FALSE,FALSE,"",46.6,234,234,117.3,95.6,178.6,107.9
"123","Cygnus_columbianus",FALSE,"USNM","18509","M",FALSE,FALSE,"",50,252,247,126.9,98.3,187.4,113.2
"124","Cygnus_columbianus",FALSE,"USNM","431870","F",FALSE,FALSE,"",48.6,244,246,123.7,99.8,188.4,109.7
"125","Cygnus_columbianus",FALSE,"USNM","431872","F",FALSE,FALSE,"",41.4,250,247,124.2,95.7,185.3,108.3
"126","Cygnus_columbianus",FALSE,"USNM","431873","F",FALSE,FALSE,"",47.3,258,261,132.7,105.4,199.8,116.9
"127","Cygnus_columbianus",FALSE,"USNM","488538","M",FALSE,FALSE,"",49.4,265,259,133.8,110.3,201.6,121.9
"128","Cygnus_columbianus",FALSE,"USNM","502567","M",FALSE,FALSE,"",50.2,244,243,124,99,182.5,107.8
"129","Cygnus_columbianus",FALSE,"USNM","610614","M",FALSE,FALSE,"",51.9,259,264,136,108,199.7,117.8
"130","Cygnus_columbianus",FALSE,"USNM","610615","M",FALSE,FALSE,"",46.4,253,252,129.6,102.5,186.3,111
"131","Cygnus_columbianus",FALSE,"USNM","623389","F",FALSE,FALSE,"",44.6,233,238,121.7,97.9,176.5,102.3
"132","Cygnus_columbianus",FALSE,"YIO","21461","F",FALSE,FALSE,"Iwate, Japan",48.8,NA,NA,NA,97.7,NA,NA
"133","Cygnus_columbianus",FALSE,"YIO","21462","F",FALSE,FALSE,"Iwate, Japan",47.9,NA,NA,NA,97.3,NA,NA
"134","Cygnus_columbianus",FALSE,"YIO","21463","M",FALSE,FALSE,"Iwate, Japan",51.4,NA,NA,NA,103.2,NA,NA
"135","Cygnus_columbianus",FALSE,"YIO","62563","F",FALSE,FALSE,"Saitama, Japan",40.2,222,221,110.4,90,171.6,101.8
"136","Cygnus_columbianus",FALSE,"YIO","62787","M",FALSE,FALSE,"Iwate, Japan",48.9,NA,NA,NA,103.3,NA,NA
"137","Cygnus_columbianus",FALSE,"YIO","64020","M",FALSE,FALSE,"Shosanbetsu, Hokkaido, Japan",45.1,NA,NA,NA,97.3,NA,NA
"138","Cygnus_columbianus",FALSE,"YIO","64042","M",FALSE,FALSE,"Chiba, Japan",50.7,NA,NA,NA,93.8,NA,NA
"139","Cygnus_columbianus",FALSE,"YIO","64429","M",FALSE,FALSE,"Shimane, Japan",50.9,243,241,127.8,95.6,178,104.5
"140","Branta_bernicla",FALSE,"MVZ","151614","M",FALSE,FALSE,"California",31.6,128,121.3,69.8,63.2,110.1,63.6
"141","Branta_bernicla",FALSE,"MVZ","160647","M",FALSE,FALSE,"Alaska",32.5,123.6,120.9,67.7,61.2,106.9,64.2
"142","Branta_bernicla",FALSE,"MVZ","160649","M",FALSE,FALSE,"Alaska",32.3,126.7,117.7,67.1,60.6,105.1,61.6
"143","Branta_bernicla",FALSE,"MVZ","45027","F",FALSE,FALSE,"California",29.2,NA,NA,NA,58.4,NA,NA
"144","Branta_bernicla",FALSE,"MVZ","53811","U",FALSE,FALSE,"California",29.6,118.6,111.1,63,59,101.2,60.2
"145","Branta_bernicla",FALSE,"MVZ","53971","F",FALSE,FALSE,"California",28.8,116.8,110.2,62.6,56.1,95.1,52.9
"146","Branta_bernicla",FALSE,"MVZ","72532","M",FALSE,FALSE,"California",31,132.4,126.1,72,64,110.8,64.8
"147","Branta_bernicla",FALSE,"MVZ","73080","M",FALSE,FALSE,"California",30.9,NA,116,65.9,60.1,105.9,62.5
"148","Branta_bernicla",FALSE,"MVZ","73081","F",FALSE,FALSE,"California",30.1,115,109.5,61.7,56.8,99.8,57.7
"149","Branta_bernicla",FALSE,"YIO","60808","M",TRUE,FALSE,"Tama Zoo",29.7,127.8,118.9,69.2,60.2,108.2,65.2
"150","Branta_bernicla",FALSE,"YIO","62867","U",FALSE,FALSE,"Shikinejima Island, Japan",28.3,119.8,113.7,66.4,57.3,100.8,61.8
"151","Branta_bernicla",FALSE,"YIO","63057","M",FALSE,FALSE,"Chiba, Japan",31.7,NA,NA,NA,62.6,NA,NA
